# 从 docs/evedata.xlsx 自动提取；生成日期：2026-09-09。
TYPE	18		斜长岩
TYPE	19		灰岩
TYPE	20		水硼砂
TYPE	21		同位原矿
TYPE	22		艾克诺岩
TYPE	25		可拾取物
TYPE	34		三钛合金
TYPE	35		类晶体胶矿
TYPE	36		类银超金属
TYPE	37		同位聚合体
TYPE	38		超新星诺克石
TYPE	39		晶状石英核岩
TYPE	40		超噬矿
TYPE	41		垃圾
TYPE	42		香料汽水
TYPE	43		抗生素
TYPE	44		核能燃料
TYPE	45		冷藏植物种子
TYPE	178		碳铅弹 S
TYPE	179		核芯弹 S
TYPE	180		质子弹 S
TYPE	181		硬钼弹 S
TYPE	182		钛合金萨博弹 S
TYPE	183		聚变弹 S
TYPE	184		定相等离子弹 S
TYPE	185		电磁脉冲弹 S
TYPE	186		碳铅弹 M
TYPE	187		核芯弹 M
TYPE	188		质子弹 M
TYPE	189		硬钼弹 M
TYPE	190		钛合金萨博弹 M
TYPE	191		聚变弹 M
TYPE	192		定相等离子弹 M
TYPE	193		电磁脉冲弹 M
TYPE	194		碳铅弹 L
TYPE	195		核芯弹 L
TYPE	196		质子弹 L
TYPE	197		硬钼弹 L
TYPE	198		钛合金萨博弹 L
TYPE	199		聚变弹 L
TYPE	200		定相等离子弹 L
TYPE	201		电磁脉冲弹 L
TYPE	202		雷神巡航导弹
TYPE	203		鞭挞巡航导弹
TYPE	204		炼狱巡航导弹
TYPE	205		星爆巡航导弹
TYPE	206		星爆重型导弹
TYPE	207		雷神重型导弹
TYPE	208		炼狱重型导弹
TYPE	209		鞭挞重型导弹
TYPE	210		鞭挞轻型导弹
TYPE	211		炼狱轻型导弹
TYPE	212		雷神轻型导弹
TYPE	213		星爆轻型导弹
TYPE	215		铁质轨道弹 S
TYPE	216		钨质轨道弹 S
TYPE	217		铱质轨道弹 S
TYPE	218		铅质轨道弹 S
TYPE	219		钍质轨道弹 S
TYPE	220		钼质轨道弹 S
TYPE	221		锰质轨道弹 S
TYPE	222		反物质轨道弹 S
TYPE	223		铁质轨道弹 M
TYPE	224		钨质轨道弹 M
TYPE	225		铱质轨道弹 M
TYPE	226		铅质轨道弹 M
TYPE	227		钍质轨道弹 M
TYPE	228		钼质轨道弹 M
TYPE	229		锰质轨道弹 M
TYPE	230		反物质轨道弹 M
TYPE	231		铁质轨道弹 L
TYPE	232		钨质轨道弹 L
TYPE	233		铱质轨道弹 L
TYPE	234		铅质轨道弹 L
TYPE	235		钍质轨道弹 L
TYPE	236		钼质轨道弹 L
TYPE	237		锰质轨道弹 L
TYPE	238		反物质轨道弹 L
TYPE	239		射频晶体 S
TYPE	240		微波晶体 S
TYPE	241		红外晶体 S
TYPE	242		标准晶体 S
TYPE	243		紫外晶体 S
